"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_forgot_password_link","tests.pytest","Wed Feb 11 10:43:23 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","TestUserInterface","test_markers","",""
"","1600","Registration with correct email, username and password","LMS system","Wed Feb 11 10:43:17 UTC 2026","passed","Wed Feb 11 10:43:19 UTC 2026","Registration","Authentication","",""
"","1621","User login with wrong email or password","LMS system","Wed Feb 11 10:43:14 UTC 2026","passed","Wed Feb 11 10:43:15 UTC 2026","Authorization","Authentication","",""
"","1581","Check displaying of dashboard page","LMS system","Wed Feb 11 10:43:24 UTC 2026","passed","Wed Feb 11 10:43:26 UTC 2026","Dashboard","Dashboard","",""
"","2603","Create course","LMS system","Wed Feb 11 10:43:20 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Wed Feb 11 10:43:23 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","","test_markers","",""
"","0","test_logout","tests.pytest","Wed Feb 11 10:43:23 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","1433","User login with wrong email or password","LMS system","Wed Feb 11 10:43:15 UTC 2026","passed","Wed Feb 11 10:43:16 UTC 2026","Authorization","Authentication","",""
"","3360","Edit course","LMS system","Wed Feb 11 10:43:20 UTC 2026","passed","Wed Feb 11 10:43:24 UTC 2026","Courses","Courses","",""
"","1349","Navigation from login page to registration page","LMS system","Wed Feb 11 10:43:15 UTC 2026","passed","Wed Feb 11 10:43:17 UTC 2026","Authorization","Authentication","",""
"","1778","User login with wrong email or password","LMS system","Wed Feb 11 10:43:11 UTC 2026","passed","Wed Feb 11 10:43:13 UTC 2026","Authorization","Authentication","",""
"","1575","Check displaying of empty courses list","LMS system","Wed Feb 11 10:43:18 UTC 2026","passed","Wed Feb 11 10:43:20 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Wed Feb 11 10:43:23 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Wed Feb 11 10:43:23 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Wed Feb 11 10:43:23 UTC 2026","passed","Wed Feb 11 10:43:23 UTC 2026","TestUserAuthentication","test_markers","",""
"","3146","User login with correct email and password","LMS system","Wed Feb 11 10:43:11 UTC 2026","passed","Wed Feb 11 10:43:15 UTC 2026","Authorization","Authentication","",""
