"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1419","Check displaying of dashboard page","LMS system","Tue Jan 27 14:25:55 UTC 2026","passed","Tue Jan 27 14:25:57 UTC 2026","Dashboard","Dashboard","",""
"","0","test_logout","tests.pytest","Tue Jan 27 14:25:54 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","1459","Check displaying of empty courses list","LMS system","Tue Jan 27 14:25:50 UTC 2026","passed","Tue Jan 27 14:25:51 UTC 2026","Courses","Courses","",""
"","1847","User login with wrong email or password","LMS system","Tue Jan 27 14:25:45 UTC 2026","passed","Tue Jan 27 14:25:47 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Tue Jan 27 14:25:54 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","1393","User login with wrong email or password","LMS system","Tue Jan 27 14:25:47 UTC 2026","passed","Tue Jan 27 14:25:48 UTC 2026","Authorization","Authentication","",""
"","1923","User login with wrong email or password","LMS system","Tue Jan 27 14:25:43 UTC 2026","passed","Tue Jan 27 14:25:45 UTC 2026","Authorization","Authentication","",""
"","2358","Create course","LMS system","Tue Jan 27 14:25:52 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","Courses","Courses","",""
"","2693","Edit course","LMS system","Tue Jan 27 14:25:52 UTC 2026","passed","Tue Jan 27 14:25:55 UTC 2026","Courses","Courses","",""
"","0","test_critical_login","tests.pytest","Tue Jan 27 14:25:54 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","","test_markers","",""
"","1514","Registration with correct email, username and password","LMS system","Tue Jan 27 14:25:49 UTC 2026","passed","Tue Jan 27 14:25:51 UTC 2026","Registration","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Tue Jan 27 14:25:54 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","TestUserInterface","test_markers","",""
"","3428","User login with correct email and password","LMS system","Tue Jan 27 14:25:43 UTC 2026","passed","Tue Jan 27 14:25:47 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Tue Jan 27 14:25:54 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","","test_markers","",""
"","0","test_login","tests.pytest","Tue Jan 27 14:25:54 UTC 2026","passed","Tue Jan 27 14:25:54 UTC 2026","TestUserAuthentication","test_markers","",""
"","1302","Navigation from login page to registration page","LMS system","Tue Jan 27 14:25:48 UTC 2026","passed","Tue Jan 27 14:25:49 UTC 2026","Authorization","Authentication","",""
