"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1479","User login with wrong email or password","LMS system","Wed Feb 11 10:34:40 UTC 2026","passed","Wed Feb 11 10:34:41 UTC 2026","Authorization","Authentication","",""
"","1434","Check displaying of dashboard page","LMS system","Wed Feb 11 10:34:49 UTC 2026","passed","Wed Feb 11 10:34:50 UTC 2026","Dashboard","Dashboard","",""
"","1391","Check displaying of empty courses list","LMS system","Wed Feb 11 10:34:44 UTC 2026","passed","Wed Feb 11 10:34:45 UTC 2026","Courses","Courses","",""
"","1210","Navigation from login page to registration page","LMS system","Wed Feb 11 10:34:41 UTC 2026","passed","Wed Feb 11 10:34:43 UTC 2026","Authorization","Authentication","",""
"","1369","User login with wrong email or password","LMS system","Wed Feb 11 10:34:41 UTC 2026","passed","Wed Feb 11 10:34:42 UTC 2026","Authorization","Authentication","",""
"","3024","User login with correct email and password","LMS system","Wed Feb 11 10:34:37 UTC 2026","passed","Wed Feb 11 10:34:40 UTC 2026","Authorization","Authentication","",""
"","1773","User login with wrong email or password","LMS system","Wed Feb 11 10:34:37 UTC 2026","passed","Wed Feb 11 10:34:39 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Wed Feb 11 10:34:47 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","","test_markers","",""
"","1491","Registration with correct email, username and password","LMS system","Wed Feb 11 10:34:43 UTC 2026","passed","Wed Feb 11 10:34:44 UTC 2026","Registration","Authentication","",""
"","1986","Create course","LMS system","Wed Feb 11 10:34:45 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Wed Feb 11 10:34:47 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","TestUserInterface","test_markers","",""
"","2623","Edit course","LMS system","Wed Feb 11 10:34:46 UTC 2026","passed","Wed Feb 11 10:34:49 UTC 2026","Courses","Courses","",""
"","1","test_logout","tests.pytest","Wed Feb 11 10:34:47 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_password_reset","tests.pytest","Wed Feb 11 10:34:47 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_login","tests.pytest","Wed Feb 11 10:34:47 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_regression_case","tests.pytest","Wed Feb 11 10:34:47 UTC 2026","passed","Wed Feb 11 10:34:47 UTC 2026","","test_markers","",""
